Date,Power_kW,Holiday,Temperature (C),Power-1,Hour,Week day,HDH
2017-09-01 05:00:00,47.620764,0.0,7.39,43.36788,5,4,0.0
2017-09-01 06:00:00,50.474810999999995,0.0,8.4,47.620764,6,4,0.0
2017-09-01 07:00:00,89.1831785,0.0,7.61,50.474810999999995,7,4,0.0
2017-09-01 08:00:00,113.48300049999999,0.0,6.245,89.1831785,8,4,0.0
2017-09-01 09:00:00,129.6148555,0.0,6.994,113.48300049999999,9,4,0.0
2017-09-01 10:00:00,204.45372749999999,0.0,7.56,129.6148555,10,4,0.0
2017-09-01 11:00:00,193.212558,0.0,7.85,204.45372749999999,11,4,0.0
2017-09-01 12:00:00,193.64147350000002,0.0,9.53,193.212558,12,4,0.0
2017-09-01 13:00:00,191.46302849999998,0.0,10.65,193.64147350000002,13,4,0.0
2017-09-01 14:00:00,202.33056299999998,0.0,12.9,191.46302849999998,14,4,0.0
2017-09-01 15:00:00,208.772817,0.0,16.6,202.33056299999998,15,4,0.6000000000000014
2017-09-01 16:00:00,209.293721,0.0,16.05,208.772817,16,4,0.05000000000000071
2017-09-01 17:00:00,156.076298,0.0,16.21,209.293721,17,4,0.21000000000000085
2017-09-01 18:00:00,137.93686499999998,0.0,14.64,156.076298,18,4,0.0
2017-09-01 19:00:00,109.503897,0.0,13.46,137.93686499999998,19,4,0.0
2017-09-01 20:00:00,86.9579745,0.0,13.38,109.503897,20,4,0.0
2017-09-01 21:00:00,61.995879,0.0,12.76,86.9579745,21,4,0.0
2017-09-01 22:00:00,53.896958,0.0,11.86,61.995879,22,4,0.0
2017-09-01 23:00:00,51.5478645,0.0,11.46,53.896958,23,4,0.0
2017-10-01 00:00:00,49.276994,0.0,12.04,51.5478645,0,6,0.0
2017-10-01 01:00:00,45.1195945,0.0,11.88,49.276994,1,6,0.0
2017-10-01 02:00:00,43.31019600000001,0.0,11.67,45.1195945,2,6,0.0
2017-10-01 03:00:00,43.251201,0.0,11.32,43.31019600000001,3,6,0.0
2017-10-01 04:00:00,43.0831745,0.0,11.46,43.251201,4,6,0.0
